first,last,category,amt,gender,state,merchant,hour,day_of_week,is_fraud
Fiona,Thomas,shopping_net,1435.8020561633978,F,TX,GasStation,6,1,0
Fiona,Doe,health_fitness,199.1083253958136,M,IL,HighEndClub,14,6,0
Hannah,Brown,food_out,772.7859781763543,M,AZ,Walmart,6,0,0
Edward,Thomas,entertainment,811.1785475948475,F,NJ,GasStation,16,3,0
Jane,Taylor,health_fitness,1086.8246650791507,F,FL,HighEndClub,13,1,0
Diana,Wilson,shopping_net,1854.1658201913324,F,WA,Amazon,11,3,0
Bob,Johnson,grocery_pos,1116.5252632554382,M,NJ,GasStation,16,2,0
Bob,Smith,entertainment,406.7810594534964,F,FL,GasStation,15,5,0
Diana,Moore,grocery_pos,598.7791396879862,M,AZ,Apple,1,3,0
Hannah,Moore,food_out,1552.6963874624234,F,NY,HighEndClub,3,5,0
Charlie,Doe,health_fitness,1577.7120609711892,F,IL,HighEndClub,19,3,0
George,Doe,shopping_net,485.4274527385322,F,CA,Starbucks,16,2,0
Jane,Wilson,grocery_pos,1995.0241626515879,M,TX,Starbucks,2,0,0
Alice,Anderson,food_out,416.0940329131976,M,TX,GasStation,20,5,0
Hannah,Johnson,gas_transport,1911.8953080590031,M,CA,Walmart,14,0,0
Hannah,Doe,food_out,77.17508343165959,M,CA,Nike,7,5,0
Jane,Johnson,entertainment,467.0373837981937,F,NJ,Apple,18,3,0
Alice,Taylor,health_fitness,421.4238935867205,F,MA,HighEndClub,14,2,0
Jane,Smith,food_out,297.60296667883404,M,NJ,Walmart,12,3,0
Fiona,Brown,shopping_net,928.4241073044575,M,IL,Starbucks,20,0,0
Diana,Doe,health_fitness,932.4527597481696,M,WA,Apple,4,4,0
Diana,Johnson,gas_transport,919.125291989604,F,CA,Walmart,11,4,0
Jane,Thomas,shopping_net,667.142717171945,F,IL,Nike,22,3,0
George,Moore,food_out,1278.3611454487714,F,TX,HighEndClub,23,0,0
Alice,Moore,shopping_net,1144.3133005405596,F,AZ,GasStation,8,0,0
Jane,Moore,entertainment,1987.2646508640605,M,TX,Walmart,0,1,0
Charlie,Thomas,grocery_pos,63.861370173468174,F,FL,SuperStore,15,2,0
John,Thomas,entertainment,1237.8822860248708,M,NY,HighEndClub,2,4,0
